t,grid_price
1,211.82623381294616
2,216.52873381294603
3,184.09723381294657
4,183.12523381294662
5,174.16123381294688
6,449.0736842105189
7,1269.6815789473471
8,1249.8052631578742
9,1273.9189473683996
10,1275.7285714285504
11,1284.342857142836
12,1239.2571428571223
13,1270.9285714285504
14,1300.6536842105056
15,1279.8163157894521
16,1347.2647368420826
17,1417.989473684187
18,1445.6852631578708
19,1479.824999999975
20,1439.864999999976
21,1395.5399999999768
22,1384.4699999999768
23,1279.3949999999745
24,1329.0047368420903
25,1321.0199999999766
26,1287.9415789473471
27,1353.5999999999765
28,1415.3849999999766
29,1475.774999999975
30,1531.8449999999746
31,1610.0999999999735
32,1648.7099999999725
33,1567.2584210526056
34,1533.3594736841849
35,1480.328571428547
36,1461.1714285714047
37,1452.5142857142619
38,1440.3857142856905
39,1434.5999999999765
40,1466.5226315789212
41,1517.371052631554
42,1679.2199999999723
43,1642.9949999999726
44,1602.359999999973
45,1557.0449999999737
46,1546.9649999999738
47,1434.2836842105032
48,1391.2984210526085
49,1376.3147368420825
50,1374.0431578947139
51,1368.495263157872
52,1395.2299999999764
53,1440.1810526315555
54,1572.209999999974
55,1747.4399999999707
56,1748.114999999971
57,1623.0431578947098
58,1585.8678947368155
59,1513.3285714285473
60,1476.5571428571184
61,1447.7999999999765
62,1465.2994736841863
63,1456.4752631578706
64,1451.932105263134
65,1458.7905263157652
66,1469.8426315789231
67,1464.2947368420816
68,1075.8110526315616
69,1205.858947368401
70,777.9284210526185
71,173.184733812947
72,327.50052631578393
73,734.5063157894614
74,860.3168421052478
75,1108.9673684210338
76,1206.0773684210321
77,1313.2784210526095
78,1414.259999999976
79,1466.6399999999755
80,1488.4649999999751
81,1439.7005263157657
82,1427.993157894713
83,1416.5915789473447
84,1406.4568421052395
85,1399.9478947368184
86,1398.0257894736608
87,1398.025789473661
88,1405.495789473661
89,1431.8810526315551
90,1445.2484210526075
91,1433.1915789473446
92,1381.0763157894505
93,1344.9057894736616
94,1276.1468421052416
95,1205.2714285714092
96,772.7142857142732
97,711.2999999999882
98,799.2428571428441
99,1119.8999999999817
100,1223.5947368420848
101,1336.03789473682
102,1406.1599999999764
103,1474.6499999999753
104,1467.352631578923
105,1456.6063157894491
106,1414.628571428548
107,1394.4857142856908
108,1388.7428571428343
109,1376.6142857142638
110,1399.2489473683977
111,1398.5936842105032
112,1399.248947368398
113,1424.6731578947126
114,1443.5884210526074
115,1422.4015789473451
116,1398.9431578947135
117,1370.8978947368194
118,1346.4784210526075
119,1291.542857142836
