21010005398261,1
21020006295527,2
11020006295527,3
21020006295547,4
11020006295547,5
21040006295441,6
11040006295441,7
11020006295441,8
21010006214254,9
11100006295421,10
21070006295421,11
11070006295421,12
11060006295421,13
11050006295421,14
21020006295421,15
11020006295421,16
21010006295351,17
11030006295485,18
11020006295485,19
21010007244180,20
21010002048310,21
11010006295573,22
11010006295555,23
11010006295593,24
21010007244004,25
11010006295509,26
21010007269802,27
11010006214256,28
11010006214262,29
11010006295717,30
21010007218226,31
11010006295327,32
11010001047774,33
21010007179586,34
21010007136682,35
21010007239688,36
21010007136668,37
11010006295469,38
21010006214252,39
21010007244176,40
11010007244174,41
11010005398249,42
