From/to,Losses total [W],Length,Total_costs
(0, 1),22969.2288547328,1855.23241329466,1848387.17742978
(0, 2),22969.2288547328,1855.23241329466,1848387.17742978
(0, 3),22969.2288547328,1855.23241329466,1848387.17742978
(1, 2),24122.603833,1989.47106896218,1934301.74090097
(1, 3),18138.5886623423,1446.6888996543,1488082.37270642
