,0
2018-07-07,-100619.44218180141
2018-07-08,-92590.13205558508
2018-07-09,-88894.22503684765
2018-07-10,-91134.51318893972
2018-07-11,-89381.98763414465
2018-07-12,-87281.23627174018
2018-07-13,-76993.05747724997
2018-07-14,-79912.28411525096
2018-07-15,-79491.57433800184
2018-07-16,-82343.89280503505
2018-07-17,-84935.23480459965
2018-07-18,-81808.72384178395
2018-07-19,-87444.70170782565
2018-07-20,-76416.02620929388
2018-07-21,-72808.49207110844
2018-07-22,-80896.07522088036
2018-07-23,-79445.03173116106
2018-07-24,-77394.48209366633
2018-07-25,-75131.77294777548
2018-07-26,-78057.1354195299
2018-07-27,-79388.57902769528
2018-07-28,-75937.95013776944
2018-07-29,-76795.36997418222
2018-07-30,-81284.03548236568
2018-07-31,-112856.38392357163
2018-08-01,-79461.22826682907
2018-08-02,-75892.86417847376
2018-08-03,-76619.30717413109
2018-08-04,-85558.66349506292
2018-08-05,-88644.11330360716
2018-08-06,-95573.29993641622
2018-08-07,-105902.21514386202
2018-08-08,-86638.36849309965
2018-08-09,-82812.15866484339
2018-08-10,-86021.85448003291
2018-08-11,-101719.29990679254
2018-08-12,-86108.15954530885
2018-08-13,-100729.19217563122
2018-08-14,-94793.74950568464
2018-08-15,-93287.8246630435
2018-08-16,-98835.43536296148
2018-08-17,-89553.31167228446
2018-08-18,-100144.35081455503
2018-08-19,-97313.32479963863
2018-08-20,-103651.1348840682
2018-08-21,-100219.30363982
2018-08-22,-93193.334605028
2018-08-23,-88714.94326828752
2018-08-24,-92366.71105665407
2018-08-25,-97446.88530924154
2018-08-26,-98603.1242527889
2018-08-27,-103280.61562492613
2018-08-28,-108062.0182389476
2018-08-29,-114233.08330416387
2018-08-30,-98769.78177174558
2018-08-31,-106189.77629553819
2018-09-01,-108667.27737568016
2018-09-02,-108141.54293286234
2018-09-03,-111723.66486138084
2018-09-04,-99105.08570468468
2018-09-05,-100503.92000223097
2018-09-06,-101869.11090308226
2018-09-07,-95442.09875009343
2018-09-08,-83811.9432232355
2018-09-09,-95149.49909125759
2018-09-10,-103941.08891884319
2018-09-11,-87356.47309224242
2018-09-12,-103446.05408796249
2018-09-13,-93446.56396379374
2018-09-14,-99128.94712504384
2018-09-15,-99676.10892344305
2018-09-16,-83753.1823593134
2018-09-17,-107573.52633627433
2018-09-18,-96325.0017445844
2018-09-19,-100541.90807117824
2018-09-20,-96102.57449886944
2018-09-21,-90981.66603414081
2018-09-22,-104443.78750065889
2018-09-23,-92144.1841372897
2018-09-24,-149671.51797894432
2018-09-25,-163433.48198177063
2018-09-26,-144929.11659223097
2018-09-27,-125450.41461733701
2018-09-28,-152402.73851739772
2018-09-29,-150050.5918369623
2018-09-30,-129080.39143958474
2018-10-01,-155002.0755682328
2018-10-02,-157360.28837425532
2018-10-03,-185508.8716695536
2018-10-04,-179394.46248827036
2018-10-05,-421050.51821356785
2018-10-06,-410645.72945669387
2018-10-07,-220447.34703700815
2018-10-08,-201042.5814970036
2018-10-09,-194222.56640394076
2018-10-10,-183139.25708090098
2018-10-11,-126645.23153038927
2018-10-12,-151930.83865606657
2018-10-13,-122398.43973600618
2018-10-14,-128220.7296303417
2018-10-15,-180441.75888429626
2018-10-16,-141959.8448833408
2018-10-17,-129222.82677251937
2018-10-18,-144450.45840787436
2018-10-19,-216243.24228271612
2018-10-20,-250208.10521931332
2018-10-21,-308809.1956694696
2018-10-22,-289998.5362256927
2018-10-23,-327618.8996678153
2018-10-24,-388967.659346593
2018-10-25,-280104.05413107114
2018-10-26,-284059.84971166874
2018-10-27,-561538.779751019
2018-10-28,-552109.9014133392
2018-10-29,-512869.1233279126
2018-10-30,-317651.2799435035
2018-10-31,-242592.07549257856
2018-11-01,-292657.2608593833
2018-11-02,-200980.18858078166
2018-11-03,-271238.47393561545
2018-11-04,-279247.8968111163
2018-11-05,-262929.64040970686
2018-11-06,-255941.1547571936
2018-11-07,-279709.20469489315
2018-11-08,-250660.72925922895
2018-11-09,-231506.85238388125
2018-11-10,-273336.980381043
2018-11-11,-263377.4626621224
2018-11-12,-288597.657996425
2018-11-13,-274556.75766286545
2018-11-14,-250625.436977854
2018-11-15,-235280.68948841633
2018-11-16,-230022.6349694328
2018-11-17,-372493.97046794574
2018-11-18,-397996.97041871253
2018-11-19,-401881.78979389364
2018-11-20,-410043.65001689177
2018-11-21,-449303.0649492496
2018-11-22,-433068.2837204205
2018-11-23,-414845.14225793903
2018-11-24,-472442.9503629457
2018-11-25,-481767.724581586
2018-11-26,-509885.97029418655
2018-11-27,-537961.9444655153
2018-11-28,-589415.415238506
2018-11-29,-581059.429289284
2018-11-30,-525600.2459784846
2018-12-01,-520353.03004092333
2018-12-02,-491959.73234250135
2018-12-03,-436176.4682562612
2018-12-04,-457000.33960364567
2018-12-05,-488966.6856328055
2018-12-06,-463752.9385802166
2018-12-07,-330743.6334365346
2018-12-08,-354458.29077941016
2018-12-09,-375991.4953009896
2018-12-10,-437139.5486513115
2018-12-11,-451418.71339251596
2018-12-12,-445101.87781607563
2018-12-13,-473780.92184860964
2018-12-14,-432874.0557340406
2018-12-15,-439623.0348602719
2018-12-16,-464143.4396195891
2018-12-17,-467391.6794813706
2018-12-18,-554564.0403759497
2018-12-19,-564535.1906069949
2018-12-20,-547198.1192473705
2018-12-21,-526676.575019145
2018-12-22,-537446.7805730108
2018-12-23,-574539.18813376
2018-12-24,-563265.7172526219
2018-12-25,-557526.1961608067
2018-12-26,-523595.9816396707
2018-12-27,-467704.1066264051
2018-12-28,-437150.6702638687
2018-12-29,-440101.0818486403
2018-12-30,-431717.7279685388
2018-12-31,-396241.48223848507
2019-01-01,-269756.18525401526
2019-01-02,-527425.7661197595
2019-01-03,-590084.0892093437
2019-01-04,-532826.4253464921
2019-01-05,-473430.74904597475
2019-01-06,-506076.29214876954
2019-01-07,-500632.96912997094
2019-01-08,-500257.43494256266
2019-01-09,-556415.0203026962
2019-01-10,-607431.8913771753
2019-01-11,-543005.4962608231
2019-01-12,-540393.5967909337
2019-01-13,-353696.4495082388
2019-01-14,-457862.2177001951
2019-01-15,-479148.7777910438
2019-01-16,-440742.1205547959
2019-01-17,-456383.846453574
2019-01-18,-538977.4175962695
2019-01-19,-563840.4331036952
2019-01-20,-595413.4905426686
2019-01-21,-608370.5283201154
2019-01-22,-578847.7309266239
2019-01-23,-584038.0374109471
2019-01-24,-589589.451719276
2019-01-25,-603800.0719308786
2019-01-26,-585931.4908953408
2019-01-27,-564914.6178409004
2019-01-28,-530834.4191986694
2019-01-29,-550333.5576472476
2019-01-30,-564722.9136223232
2019-01-31,-546545.7948062378
2019-02-01,-559741.057771818
2019-02-02,-575281.1363266165
2019-02-03,-564351.5822993843
2019-02-04,-573594.3147422234
2019-02-05,-540569.7478181472
2019-02-06,-550162.171181468
2019-02-07,-531543.9267002275
2019-02-08,-511075.19878644357
2019-02-09,-497283.6122217698
2019-02-10,-467775.3711077482
2019-02-11,-516606.8070110876
2019-02-12,-514288.49292521126
2019-02-13,-418427.3755740668
2019-02-14,-414100.7808711238
2019-02-15,-394042.8082575808
2019-02-16,-362848.4277190605
2019-02-17,-324668.2478967556
2019-02-18,-343481.06064431753
2019-02-19,-400272.24083616625
2019-02-20,-468567.97255839506
2019-02-21,-468737.4808457656
2019-02-22,-505766.06264337414
2019-02-23,-542593.609397156
2019-02-24,-473443.30848106294
2019-02-25,-424980.97590903664
2019-02-26,-379080.26456006226
2019-02-27,-320561.57540940953
2019-02-28,-319852.9684075743
2019-03-01,-456962.22534724354
2019-03-02,-509127.3404350649
2019-03-03,-394779.9822232288
2019-03-04,-392128.1271115206
2019-03-05,-441261.2124760582
2019-03-06,-476914.8415742279
2019-03-07,-445953.6291688763
2019-03-08,-411668.2173029313
2019-03-09,-456354.53452307725
2019-03-10,-416577.3318239681
2019-03-11,-499042.79220104194
2019-03-12,-524560.8317129394
2019-03-13,-518121.5855133622
2019-03-14,-448457.65856345434
2019-03-15,-463060.88032414723
2019-03-16,-478068.2151260104
2019-03-17,-411412.6940315109
2019-03-18,-452547.13892222196
2019-03-19,-465632.6351834859
2019-03-20,-447423.1305302842
2019-03-21,-326210.9442367934
2019-03-22,-339617.2870902522
2019-03-23,-300190.0316373062
2019-03-24,-334393.18677234533
2019-03-25,-437219.6920680495
2019-03-26,-432914.2769595354
2019-03-27,-381650.76694031764
2019-03-28,-287407.584367803
2019-03-29,-193953.81396006336
2019-03-30,-243734.54387374118
2019-03-31,-295467.78438654006
2019-04-01,-267775.94084295776
2019-04-02,-254290.49961936474
2019-04-03,-231552.5071935942
2019-04-04,-211522.6614290522
2019-04-05,-228359.39527901402
2019-04-06,-238454.53501812858
2019-04-07,-214872.9143037529
2019-04-08,-234957.71081210245
2019-04-09,-236690.5189262449
2019-04-10,-305103.90657420247
2019-04-11,-295430.0683164735
2019-04-12,-311523.945736607
2019-04-13,-302269.89578301203
