,0
2018-04-30,-182963.44723461114
2018-05-31,-118896.06721064051
2018-06-30,-99287.13028299763
2018-07-31,-84665.03081956164
2018-08-31,-94941.47874795608
2018-09-30,-109861.48555996935
2018-10-31,-260572.64435088923
2018-11-30,-362726.33916771965
2018-12-31,-494694.6261258694
2019-01-31,-552389.6988721373
2019-02-28,-475868.02311226586
2019-03-31,-412830.5589243387
2019-04-30,-257037.89785583777
