,0
2018-04-14,79.61369047619048
2018-04-15,81.14666666666666
2018-04-16,100.9967857142857
2018-04-17,92.76940476190475
2018-04-18,143.59845238095141
2018-04-19,84.94107142857142
2018-04-20,80.21773809523809
2018-04-21,67.78011904761905
2018-04-22,73.615
2018-04-23,66.45559523809524
2018-04-24,70.50904761904762
2018-04-25,75.77297619047619
2018-04-26,72.45035714285714
2018-04-27,82.03464285714286
2018-04-28,74.8275
2018-04-29,73.61166666666666
2018-04-30,38.506190476190476
2018-05-01,45.38880952380953
2018-05-02,82.01785714285714
2018-05-03,84.11642857142857
2018-05-04,101.42845238095238
2018-05-05,69.57940476190477
2018-05-06,49.71535714285714
2018-05-07,73.2207142857143
2018-05-08,61.49535714285714
2018-05-09,68.02976190476191
2018-05-10,36.09095238095238
2018-05-11,77.37833333333334
2018-05-12,69.17916666666666
2018-05-13,40.31964285714286
2018-05-14,77.63964285714286
2018-05-15,108.07511904761905
2018-05-16,148.85595238095237
2018-05-17,78.3425
2018-05-18,74.1925
2018-05-19,76.71071428571429
2018-05-20,54.254404761904766
2018-05-21,58.591904761904765
2018-05-22,113.5547619047619
2018-05-23,121.68202380952381
2018-05-24,102.69130952380952
2018-05-25,86.81297619047619
2018-05-26,83.32702380952381
2018-05-27,78.38049096437132
2018-05-28,86.58817450325425
2018-05-29,92.28857142857142
2018-05-30,98.01976190476189
2018-05-31,94.22095238095238
2018-06-01,119.66178571428571
2018-06-02,93.0122619047619
2018-06-03,90.57404761904762
2018-06-04,90.69559523809524
2018-06-05,96.93091206320645
2018-06-06,105.31071456406299
2018-06-07,107.2527380952381
2018-06-08,107.11654761904761
2018-06-09,98.4425
2018-06-10,98.48464285714284
2018-06-11,128.80654761904762
2018-06-12,201.37666666666667
2018-06-13,114.33928571428571
2018-06-14,102.41797619047618
2018-06-15,105.93654761904763
2018-06-16,92.19108875042814
2018-06-17,92.7952380952381
2018-06-18,95.47869047619048
2018-06-19,89.9447619047619
2018-06-20,92.89892857142858
2018-06-21,87.76142857142857
2018-06-22,64.55071428571428
2018-06-23,72.82380952380952
2018-06-24,89.4975
2018-06-25,112.74488095238097
2018-06-26,133.2409523809524
2018-06-27,120.83345238095238
2018-06-28,100.58619047619048
2018-06-29,97.07178571428572
2018-06-30,97.5625
2018-07-01,97.12369047619048
2018-07-02,108.68380952380953
2018-07-03,112.57178571428572
2018-07-04,100.25764041623819
2018-07-05,117.28095238095239
2018-07-06,108.3729761904762
2018-07-07,98.09916666666668
2018-07-08,104.14678571428571
2018-07-09,106.5042857142857
2018-07-10,114.53857142857142
2018-07-11,113.41952380952381
2018-07-12,115.11595238095238
2018-07-13,107.5359684744683
2018-07-14,99.45183386861912
2018-07-15,108.4679761904762
2018-07-16,117.15988095238095
2018-07-17,112.86395030404246
2018-07-18,110.18059523809524
2018-07-19,110.66440476190478
2018-07-20,115.01702380952382
2018-07-21,112.38392857142857
2018-07-22,112.11607142857143
2018-07-23,128.0472619047619
2018-07-24,122.3795238095238
2018-07-25,129.46714285714285
2018-07-26,121.36071428571428
2018-07-27,123.08130952380952
2018-07-28,106.07821428571428
2018-07-29,107.57309523809523
2018-07-30,126.61035714285714
2018-07-31,133.7062970653375
2018-08-01,123.90357142857142
2018-08-02,129.49916666666667
2018-08-03,151.52464285714285
2018-08-04,103.2542098107228
2018-08-05,105.55238095238094
2018-08-06,133.50011904761905
2018-08-07,138.81595238095238
2018-08-08,120.41630952380952
2018-08-09,118.55607142857143
2018-08-10,91.84833333333334
2018-08-11,101.19857142857143
2018-08-12,101.30083333333333
2018-08-13,121.69690476190476
2018-08-14,123.75154761904763
2018-08-15,119.53571428571428
2018-08-16,119.22559523809524
2018-08-17,123.48047619047618
2018-08-18,101.99630952380953
2018-08-19,104.29119047619048
2018-08-20,111.35000000000001
2018-08-21,139.0952380952381
2018-08-22,129.32321428571427
2018-08-23,134.13607142857143
2018-08-24,112.64619047619048
2018-08-25,111.33452380952382
2018-08-26,113.37511904761904
2018-08-27,109.05142857142857
2018-08-28,140.59809523809523
2018-08-29,138.65142857142857
2018-08-30,135.38261904761904
2018-08-31,137.44440476190476
2018-09-01,128.2272619047619
2018-09-02,122.29107142857141
2018-09-03,137.7497619047619
2018-09-04,142.1897619047619
2018-09-05,143.41083333333333
2018-09-06,137.8372619047619
2018-09-07,132.44333333333333
2018-09-08,116.21392857142858
2018-09-09,118.71535714285714
2018-09-10,132.52964285714287
2018-09-11,122.70357142857142
2018-09-12,113.29797619047618
2018-09-13,148.28630952380954
2018-09-14,132.83130952380952
2018-09-15,110.33154761904763
2018-09-16,108.41238095238096
2018-09-17,133.0445238095238
2018-09-18,120.44214285714285
2018-09-19,109.58642857142856
2018-09-20,104.14976190476192
2018-09-21,77.92119047619047
2018-09-22,46.792857142857144
2018-09-23,78.79321428571428
2018-09-24,83.96130952380953
2018-09-25,114.16976190476191
2018-09-26,63.53928571428571
2018-09-27,75.26785714285715
2018-09-28,84.45321428571428
2018-09-29,85.38345238095239
2018-09-30,85.31083333333333
2018-10-01,128.01535714285714
2018-10-02,91.01273809523809
2018-10-03,78.73190476190476
2018-10-04,137.55261904761906
2018-10-05,181.32214147286786
2018-10-06,120.97690476190475
2018-10-07,114.49369047619048
2018-10-08,127.29869047619047
2018-10-09,140.8502380952381
2018-10-10,127.74071428571428
2018-10-11,112.03345238095238
2018-10-12,117.66607142857141
2018-10-13,72.47571428571429
2018-10-14,42.38797619047619
2018-10-15,115.41547619047618
2018-10-16,153.92785714285716
2018-10-17,151.5420238095238
